Temp_Code,PH_Code,EC_Code,EC,PH,Temp,D
C,C,C,29,2,35,15.421715148484328
C,B,C,39,12,32,15.212845582331415
C,B,C,38,12,45,18.29169548742249
A,C,C,24,5,0,12.576331222812323
C,A,C,20,8,31,16.06911657160005
C,B,A,2,14,28,11.952374722844091
A,C,A,3,4,7,5.094785392626881
C,B,C,35,10,54,14.94193856164018
C,B,C,28,14,33,17.417559323041086
C,A,B,19,9,52,9.741127370427913
A,C,C,38,2,8,10.997808264561339
C,B,A,2,14,45,12.855597771160388
A,A,B,19,8,0,4.876817524504215
C,C,C,20,1,46,18.402560463874405
C,B,C,40,13,40,17.39631730254489
C,A,C,20,9,59,16.669667451065937
C,B,C,40,13,27,17.903289566574642
B,C,B,15,6,17,15.104080129779867
B,C,B,13,1,12,15.366801405735165
C,B,A,5,14,36,11.777808371213794
C,B,A,1,12,24,10.986775370342695
C,C,C,31,1,58,20.38575018219551
A,C,C,21,1,6,13.874321728202906
B,A,C,28,9,13,12.689929187953833
A,B,C,34,14,6,10.024314994632665
C,C,C,25,2,48,18.912816119709987
C,C,C,24,1,51,20.7491035883467
C,B,C,39,12,56,16.75440808898037
C,B,C,35,13,45,16.454063330975973
C,A,C,20,8,21,11.842860522677238
C,C,B,13,4,50,13.33858353525674
C,B,A,5,10,22,12.358220373347017
C,C,C,21,3,29,18.67511201170499
C,A,A,1,7,48,9.541133796507857
C,A,B,19,7,47,9.95373374995193
A,A,C,29,9,6,7.59662397666654
C,B,C,27,12,26,16.09186471673442
C,B,A,2,13,58,9.66442381850067
C,B,B,17,14,22,13.16368663564078
C,B,C,33,14,44,17.03859803025333
C,A,C,20,8,54,12.077850122191657
A,B,A,4,13,0,7.280958819199075
C,C,A,2,3,43,9.955109379108475
B,A,A,1,7,14,8.185589746988233
C,A,B,13,8,56,11.14731844889581
C,A,C,38,7,32,12.480383001938904
C,C,A,5,0,49,13.557498960195325
C,B,A,4,10,23,12.538093362070288
C,A,C,32,7,52,15.817265457431013
C,C,B,19,5,41,13.548408083913252
A,B,C,31,11,0,10.757518991735799
C,C,C,21,1,41,20.371027488491194
A,A,A,2,9,6,3.4198701624903993
A,A,C,24,8,10,9.101595728711901
C,B,B,19,12,31,13.39845173097769
B,C,C,33,5,16,22.118309564656307
C,C,A,4,6,34,11.61898802831211
C,C,A,1,3,50,11.669285313057722
C,B,C,22,10,59,17.18061751663317
C,C,C,35,1,33,17.19564941122891
B,C,C,26,3,18,19.18839745176929
B,C,B,10,5,11,14.555985368910942
A,B,A,1,10,0,5.02804000219427
A,A,C,25,9,3,8.904755745049602
B,A,C,22,9,14,6.499641321512376
C,B,C,27,13,36,16.94910769499441
C,B,A,4,12,46,9.029104344185244
A,C,C,34,4,4,16.194205379710223
A,A,C,28,8,4,8.039060277814714
A,B,A,4,11,3,4.849266620561108
C,B,A,8,10,47,10.631267661908758
C,B,C,28,10,47,19.37389960023708
C,B,A,4,12,26,12.422579741416314
A,C,C,34,2,9,13.161049096417518
C,C,C,40,2,22,17.94195201341757
C,B,A,9,11,34,8.643201175426277
C,C,C,20,3,44,19.518844158320036
A,B,C,35,13,7,14.056218248540763
C,B,C,37,13,23,18.796852069900034
C,B,C,22,12,40,20.749904559108575
C,C,C,31,5,55,15.399099477646585
C,A,C,30,7,60,14.619320662554749
C,A,A,6,9,36,7.599904910562715
C,A,C,24,7,25,15.738068806055146
C,C,C,33,4,27,21.56693631530376
A,B,B,10,12,3,8.210960599151498
B,C,C,21,3,18,16.651729736956195
C,C,C,40,6,55,18.750310469143667
A,C,A,5,4,4,6.8298532623442965
C,C,C,24,0,59,19.261499926740164
A,B,A,4,11,3,7.513897638807701
C,C,C,39,3,58,17.326050458612357
B,C,C,24,5,19,21.41575201403071
B,C,C,23,0,16,15.604352302846818
C,C,C,38,2,45,16.596596579406793
C,C,C,34,1,36,18.98588387748476
B,C,B,16,5,19,14.53858514890867
C,C,A,7,6,53,9.558677077246672
C,C,C,32,3,39,15.03312863287
C,B,B,13,14,59,12.264946562348252
C,A,A,9,8,35,6.117339235734999
C,A,C,35,9,48,13.113248651876724
A,B,C,29,13,9,16.102698389685607
C,C,C,38,4,54,17.665492283798475
C,B,B,10,13,31,13.352426028831996
C,C,C,24,1,25,20.928602954254274
C,B,C,34,14,49,17.007329924768364
B,C,B,17,4,19,12.32165159209099
C,C,C,25,5,41,18.42313801132024
C,B,C,39,13,53,13.892155732516255
A,C,C,23,3,5,14.329257968679789
A,B,B,12,13,2,7.65796159074359
A,B,B,15,14,8,8.327749841770363
C,C,A,7,3,54,11.51031962339458
C,B,A,5,11,49,9.288020431520902
A,B,A,4,10,9,7.184876875843663
C,B,C,27,10,50,15.532260803721337
C,C,B,19,6,28,12.983392510230036
C,A,C,40,8,26,15.587659548419687
C,B,C,33,14,31,18.48721771939956
A,C,C,32,1,2,11.18147978039826
C,B,C,27,14,43,15.918662951666928
B,B,C,29,14,17,14.872023557991534
C,A,A,4,8,35,8.536442984212217
A,C,A,7,1,5,7.97443012864096
C,A,B,19,9,27,9.90716213340366
B,C,A,5,4,20,9.860988164953403
C,C,B,15,6,47,13.961377071689745
C,C,B,13,5,26,12.937763702799895
C,C,A,8,5,33,8.891141329839854
C,B,C,39,10,39,16.705478328817694
A,A,A,1,9,4,3.4204251288720906
C,C,A,2,3,22,13.938233648963271
C,C,B,16,4,41,13.949326592716549
C,A,C,30,8,33,13.707905021584986
C,A,B,10,8,23,10.925944723642873
C,C,B,11,6,59,12.807182799412868
C,B,B,17,11,50,13.41318608031342
C,B,B,12,13,38,13.05635499733377
C,C,C,29,3,57,19.636865749756943
C,B,C,22,12,40,19.41208155590116
C,A,C,28,8,33,15.861893812327603
C,B,C,29,11,43,19.18641975321107
C,A,C,34,7,31,13.049142962982948
A,A,C,22,8,5,10.938297630639127
C,B,B,14,13,54,12.616229340898187
B,C,B,17,2,12,12.892420683321241
A,B,C,31,13,9,14.910123236437945
C,C,C,39,3,28,16.451473675850018
C,C,B,11,6,59,13.17737211350429
B,C,B,11,0,20,16.140956505089402
C,C,C,29,4,25,21.9446767566822
C,A,B,16,8,39,8.762897890256347
C,C,C,37,0,40,15.232751699131889
B,C,B,14,0,15,13.101766638212329
C,A,C,38,8,55,13.571236262277278
A,B,A,6,11,8,4.272705655256802
B,A,C,40,9,17,9.190634777047606
B,C,A,3,4,18,8.981926295354688
B,C,C,36,3,15,13.5995425670978
C,C,B,12,4,34,14.168673288979239
C,A,A,4,8,46,8.10167848118791
C,B,A,3,14,49,11.262031578135572
A,A,A,7,7,7,2.342362668871555
C,C,A,4,2,49,11.798222220395392
A,C,B,14,0,5,8.331633793155792
C,C,B,14,0,51,12.830713048887441
C,B,C,26,13,45,17.117657599743836
C,B,B,14,13,44,11.959854731354525
C,B,A,3,11,31,10.597195226916416
B,A,C,22,9,12,14.027867326821296
C,A,B,13,7,32,8.846551553039049
A,A,C,34,7,3,11.710250361206919
A,C,C,38,2,3,14.335120467099177
C,B,B,14,10,58,12.333215265478106
C,C,C,40,3,25,21.268843478052815
A,C,C,31,3,2,14.889601043468753
A,C,C,27,3,0,12.031665101316097
C,C,C,29,4,41,21.98324565161971
C,B,C,21,11,32,17.143369676049403
C,C,A,8,5,57,10.342004878435265
C,C,B,10,3,52,13.787271292840824
A,C,A,6,5,10,6.258543213748467
C,B,A,7,10,31,10.286934052887549
C,C,C,31,1,21,16.726503045809547
B,C,B,18,1,18,12.631363195992119
C,C,B,10,1,60,13.36042706189077
A,A,C,39,8,2,8.832591647227343
C,B,C,31,12,47,19.16621524083936
C,B,C,21,13,60,15.032855975182216
A,A,C,31,7,2,7.675828595864488
C,A,B,14,7,50,9.447849634083026
C,B,C,40,11,30,18.994944140366044
B,A,B,13,9,19,9.23731421871491
C,B,C,31,14,57,14.982369467336877
C,A,B,11,8,36,8.278926217656148
C,A,A,1,9,56,6.704675557204934
C,C,B,15,5,31,14.381332543514494
C,C,A,9,3,42,11.520621273545618
C,A,C,37,7,27,12.02921832052275
C,B,A,3,13,29,10.502768888377737
C,C,B,19,0,28,12.013225186342742
C,C,B,13,1,37,16.018509535543604
C,C,C,24,1,37,19.665566372762076
A,C,B,16,1,5,9.29546560344375
C,A,C,26,9,52,14.581455177687522
C,B,A,1,12,25,11.657934828838936
C,B,A,8,12,45,10.61744870556652
B,C,C,21,5,18,21.144783061864622
A,C,A,1,4,5,7.00330754621484
A,B,B,16,14,7,7.400570878238064
C,C,A,9,0,44,11.927798803174271
B,B,A,7,11,19,11.846747845529439
C,C,C,39,3,37,17.977890994300303
C,C,C,20,0,46,16.29769691110768
C,C,A,6,0,49,12.87055176089298
C,C,C,39,6,32,18.74468711596794
C,B,A,3,13,53,10.235892377159434
C,B,A,8,12,37,11.740552945616013
C,B,C,39,12,35,16.514839226687997
C,B,C,31,12,54,14.937618798480692
C,C,B,18,0,47,15.069221412069068
C,A,C,30,7,33,15.269506060273342
C,B,B,18,12,26,11.699471160811111
A,C,C,20,5,2,11.641342536560078
A,B,C,30,12,2,15.15337378608959
C,B,C,33,12,55,18.21192572696162
C,A,C,36,7,34,15.383090640512625
B,C,A,4,6,14,10.307693102315778
C,C,C,20,0,39,14.554702827234738
B,C,C,40,2,15,20.94844484014125
C,B,A,1,14,40,12.563493966754072
A,A,C,37,7,7,9.481517169197673
C,A,C,24,8,44,15.110739554022048
A,B,B,15,13,8,7.342527242447902
C,B,C,27,12,45,18.822290598008742
C,C,C,32,3,24,19.73357629780077
A,C,C,39,6,8,15.639486570015956
C,C,C,30,4,45,18.043325752270597
C,C,A,7,3,53,12.007698740290282
B,B,B,17,13,17,11.71009957459171
C,C,A,7,4,50,9.268156591253618
B,B,B,17,11,15,13.031455468244161
C,C,B,16,0,51,12.823660425593674
C,A,A,8,8,38,8.747001236361719
C,A,C,23,7,55,13.278477297945905
B,B,B,19,10,17,12.822844880901417
B,B,A,5,11,15,9.858054135957726
C,B,A,7,14,60,9.150949578442432
C,C,C,32,4,34,20.26761477095212
A,C,C,40,1,0,13.728872932984633
C,C,B,11,3,50,14.322035283010752
C,C,C,33,1,55,17.309016514728587
C,C,C,33,6,44,19.55673667819947
C,B,C,25,11,39,17.68498108975193
A,C,C,21,5,7,11.864848417803259
C,C,B,14,1,38,13.518260333563328
C,C,B,12,2,49,13.17687630131909
B,B,A,8,11,16,11.213495483317754
B,B,B,17,12,17,12.886814401826928
C,B,C,26,10,29,17.032408236032015
C,B,C,26,10,59,17.04264428557663
C,C,C,25,0,56,20.705912485933425
C,C,B,18,4,49,14.391439558330273
C,B,C,22,11,49,15.27651351047517
C,B,B,10,11,31,12.109482787978221
C,B,C,40,12,46,16.07660547074009
C,C,B,18,1,52,13.831059279338582
B,C,A,9,6,13,13.760625217025858
B,A,B,15,7,19,10.746482950967582
C,C,C,24,4,26,15.353235687602446
C,C,B,14,0,34,13.13322621513025
C,C,C,34,2,27,14.413445173282586
C,C,C,33,5,41,15.989192678632243
C,C,C,27,0,46,18.14835709281013
C,C,B,14,1,45,11.318229788927443
B,C,C,37,5,15,19.28006908189415
C,A,B,15,7,44,8.856320245976018
C,A,B,16,8,23,10.240183197833673
C,C,C,23,0,54,17.522634886430364
C,C,C,35,4,49,19.035675356691254
C,B,C,37,10,25,18.024954555751336
A,C,B,15,3,9,11.102696222833226
C,A,B,15,7,42,9.329850652675155
C,A,A,1,9,51,9.098164407761868
B,C,C,29,4,16,16.40104419030198
B,C,A,7,6,14,13.269148931429603
C,C,A,2,6,60,11.854894384492031
C,C,C,39,3,60,21.3613203512223
C,B,A,4,10,59,12.568446376742482
C,B,A,3,11,33,11.192141456605489
C,C,C,33,3,33,18.944854994061206
B,C,B,16,2,20,12.818156517625951
B,C,C,33,2,12,17.22161645257461
A,C,C,30,5,10,11.226345049546177
C,C,B,15,1,38,14.97386769885616
B,C,B,18,3,20,14.106467684593076
A,C,C,34,2,8,14.454437930782142
C,A,B,19,7,36,9.451242856305866
C,C,C,40,4,47,18.22286363004448
B,C,C,34,5,17,16.95453635852733
A,C,B,14,3,4,7.420454591261015
C,C,C,26,0,22,19.25914510726149
A,B,C,23,10,10,11.523721681680229
C,C,A,6,5,24,13.8018882262464
B,B,C,40,12,17,14.988549459995593
C,C,B,18,5,32,14.455556102955672
B,C,C,33,0,18,18.035992068962493
C,C,B,12,3,24,13.699600605171064
C,B,C,28,13,21,20.47469281398132
C,C,A,4,1,60,12.275225665084296
C,B,B,12,11,32,11.630404208319604
B,B,C,34,11,18,17.463541004310017
A,C,A,9,1,3,9.545060252865737
C,B,B,16,13,60,11.86459639115594
C,B,A,6,13,37,11.730471355443719
C,A,B,16,8,29,9.01183894128398
A,B,C,36,13,3,11.755566569831672
C,C,C,39,4,38,20.506303559921843
A,C,C,28,1,8,11.907478231982758
A,B,B,16,14,1,8.21805720134978
C,A,C,23,7,32,15.628883068199471
C,A,B,18,9,22,9.709575249982649
C,A,C,37,7,43,11.868168275345372
C,C,A,5,3,34,11.102005021062245
C,B,C,38,10,30,14.288191995220684
C,B,C,34,13,41,15.707394907610041
C,C,A,6,5,60,11.643609973137407
A,C,B,17,2,6,9.255930772676303
C,B,B,15,11,60,12.363717598603323
C,A,C,33,9,60,14.322951331970007
C,B,C,24,14,42,15.999667750006871
C,C,C,38,3,45,16.918966946597365
A,B,C,37,11,2,14.542724671369065
C,C,B,12,4,37,13.228548270096397
C,B,B,16,11,55,12.615448386755517
B,C,A,3,4,15,12.60461030145233
C,B,C,28,10,42,19.32832352575686
C,C,C,21,6,21,16.187945860536352
B,B,A,1,11,11,12.69361404307916
C,B,A,4,10,24,12.019173695558647
C,C,B,16,1,57,14.385188673694653
C,A,C,28,8,30,12.314112892220628
B,B,C,21,11,20,14.783425268057442
A,C,B,14,6,4,8.821887663050024
C,C,C,30,5,60,17.68305801502832
C,B,A,7,10,45,10.715991896103688
C,B,C,31,11,25,16.702378837644893
C,C,C,40,4,25,19.424418151159703
C,C,B,11,6,45,14.888807337210697
C,A,B,14,7,49,9.53526205881386
C,C,C,36,4,23,19.73469309525116
A,B,C,37,10,4,11.452944673603414
C,C,C,40,0,25,14.874690479777211
C,A,C,30,8,43,11.753741314806838
C,C,C,23,5,32,16.567020849172216
C,C,B,19,2,52,12.328133016474084
C,A,A,8,9,60,7.76520855231257
C,C,A,1,0,24,11.498142045643492
C,C,C,36,6,52,20.14360127023747
B,B,C,26,14,17,16.662724731697992
C,A,B,17,9,35,9.01681303358032
C,C,B,11,5,55,14.775189171583214
B,A,A,5,8,20,10.032879115540466
B,B,A,2,12,11,12.811452996413898
B,C,C,30,2,19,20.30803622708836
C,A,C,28,9,56,14.730707052826217
A,C,C,28,5,3,13.546262649624111
C,A,C,27,8,54,16.11408837661805
C,B,A,7,10,54,11.04168422777569
C,C,C,28,2,37,17.436210570627367
C,A,A,2,9,41,7.792963318141747
C,B,C,28,13,47,16.01218555025099
A,B,A,5,14,2,7.235996034385112
C,C,B,17,5,37,14.156280758925922
C,B,C,22,12,47,20.08869008456769
C,B,A,2,13,31,10.947848324188456
B,A,B,18,9,20,10.909202483954473
C,B,C,39,10,52,15.467557239585009
C,B,A,9,11,60,12.356144435768083
C,C,C,39,2,45,18.148165393072954
C,C,A,2,3,41,11.395154989411562
C,C,C,23,0,55,15.094841455353045
C,C,B,12,2,51,13.637960111907867
C,A,A,7,8,22,7.11941412247416
A,C,C,37,3,3,15.588992733382065
A,C,C,23,1,2,12.735659463092892
A,B,A,4,11,7,6.022674128738155
A,A,C,27,7,6,8.077180357986506
B,A,C,33,7,15,10.325263942057534
A,B,B,17,14,6,8.083214756043192
C,C,A,4,0,46,11.842257583830186
C,C,B,17,3,53,14.694865472884512
C,A,B,14,8,42,9.347505717924028
C,C,B,17,6,35,13.953455632101747
C,A,B,13,9,38,8.623686752533828
B,C,C,37,4,14,14.800525231643078
B,B,B,12,10,18,12.414276392521213
A,B,C,34,10,7,14.790233625879322
A,A,C,24,9,10,11.655677708942553
C,B,A,7,14,32,12.681929110562669
C,C,B,15,1,59,13.891187348835405
C,A,C,21,9,36,14.527786804296626
C,B,C,20,11,52,17.132322355011947
C,C,C,27,1,28,17.498462572305638
C,A,C,28,9,51,12.301038566776581
C,C,C,25,0,42,21.154742669838356
A,C,C,25,3,1,11.902233113320206
B,B,B,10,13,18,8.725678702321723
C,C,B,13,4,41,13.206754834530447
A,B,A,5,12,9,5.522693854756965
A,C,A,4,4,3,6.7126018346601075
C,C,A,5,4,49,12.243949744459373
C,A,C,33,8,30,12.937118260918961
C,C,C,35,2,36,14.45587254648163
C,B,B,17,12,41,11.900095884657567
A,B,A,6,11,0,5.57969698295265
B,A,A,1,8,18,3.7640221754310654
B,C,A,3,4,15,7.642290156017138
C,A,B,15,8,35,9.251947346455623
C,C,A,5,5,23,13.972067716532074
B,C,A,8,1,13,11.639825113505532
A,C,B,10,2,4,7.903536835292106
A,B,C,40,11,2,11.33047928956604
C,C,C,36,2,48,18.82414799601101
B,C,B,11,5,11,14.304918910355712
C,C,C,26,0,31,17.85360349823253
C,A,C,20,8,57,12.525986752990402
C,C,B,10,2,46,11.893435127839632
A,C,C,33,5,2,16.189128764156106
C,B,C,23,13,22,18.597522296193493
C,B,C,37,10,26,19.827198869924207
A,C,A,7,2,7,8.579692300975378
C,A,C,35,8,56,11.612685898186601
A,C,B,17,5,6,8.681689812451802
C,A,B,17,7,23,10.276239993855276
C,C,C,40,6,58,16.419727165613153
B,A,C,37,9,12,11.335899623723478
C,B,C,29,11,35,16.49839036714181
A,A,A,4,9,1,4.682559998283248
C,B,C,34,10,53,17.717457515621568
B,B,A,5,13,18,10.324296344846932
C,A,C,28,8,50,12.1232088944991
C,C,C,23,4,46,19.653957845986724
B,B,C,40,10,13,19.30732337817023
C,B,C,35,10,28,16.628656374644954
C,B,C,35,13,55,16.464540478906976
C,A,C,31,7,34,15.12620497468065
C,A,C,29,7,48,12.909927251970608
A,C,C,30,2,9,13.531309854727908
C,C,C,31,1,53,18.843210696349352
C,B,B,12,11,23,12.784582751250163
C,B,A,3,13,26,9.373314421699682
A,B,C,29,14,5,11.62493705384184
A,C,C,31,6,5,10.23154242025106
C,A,B,13,9,33,9.734319671584107
C,B,C,35,14,46,15.497867002099362
C,C,C,22,4,57,18.71528765156728
C,A,C,33,8,28,15.712327993190726
B,C,C,37,0,18,16.388644118481224
A,C,C,22,2,2,13.424095150482337
A,B,C,22,14,5,15.022942999145702
C,C,C,35,3,30,19.625606746493066
C,C,C,27,3,25,15.070787645471
C,B,A,4,11,57,8.58882209080239
C,B,C,38,11,55,19.31921534694061
C,C,A,7,0,36,10.816859689036765
C,C,B,11,1,47,12.282485230499455
C,C,A,2,6,49,10.116331612250356
C,A,C,21,8,35,15.114316023488053
C,C,C,29,5,40,15.40295718014647
C,A,C,21,8,38,12.918742634912391
B,C,C,31,1,14,14.049414752963589
C,C,B,13,0,57,13.041142415289144
B,C,C,31,2,12,21.749273351793732
B,B,C,31,10,17,15.216560080775151
C,A,B,15,7,48,8.805169254226811
A,B,B,19,10,10,8.255673296580076
C,C,C,27,6,56,19.795138313393334
C,C,C,31,1,25,20.386669942679084
C,B,C,21,14,40,18.822155045520326
C,A,A,5,8,45,7.81331261099582
C,B,A,1,14,26,9.960508232869426
A,A,B,16,7,10,4.629512649836553
C,C,A,6,5,55,11.42174489925756
C,A,C,27,8,44,15.115321164074501
C,A,B,16,8,57,10.506702805940357
C,C,C,38,4,48,17.938329865618744
A,C,B,19,5,6,9.505878409812668
C,C,A,8,4,29,11.68442479695402
C,C,B,17,0,25,15.11893485527617
C,A,C,23,9,49,13.624098093123962
C,B,A,5,12,22,10.90952814328905
A,C,A,3,3,9,8.76645158059923
C,B,C,24,10,35,19.74429134699238
B,C,A,5,6,19,13.741962060404031
C,A,C,40,8,24,13.752601455421459
C,C,C,29,0,38,16.68361394593049
C,B,C,37,11,60,15.133861422273602
C,C,C,30,4,24,18.05868590389303
A,A,B,17,8,6,4.169964231106703
C,C,B,10,0,28,14.837373190682863
C,C,A,8,5,22,11.393859642508142
A,B,C,29,10,9,12.590250586087807
C,C,B,18,5,59,13.375087705872282
A,A,B,15,9,4,5.767894152011873
C,C,C,26,2,44,18.79096233498015
C,B,B,16,13,52,12.887105078063108
B,A,B,19,8,13,10.351581948527206
C,C,C,37,3,21,17.52430986258198
C,B,C,31,11,31,17.01641924472351
C,A,C,32,7,40,14.152904568121432
C,C,A,9,2,28,13.804285961267675
C,A,A,9,8,50,7.142217748185649
A,B,C,25,11,1,14.123306994264311
C,B,A,6,14,60,11.260186906768828
C,A,C,39,9,33,12.521201000032093
A,A,B,16,7,3,5.300605470534937
B,C,C,20,2,18,11.789720654748354
B,C,B,18,0,12,9.96625606764999
C,C,B,16,0,51,13.034462860969214
C,C,A,6,3,54,11.23810662739306
A,C,C,29,0,10,15.552154117893371
C,C,C,29,2,25,15.413819121159005
B,A,C,22,9,17,13.69916066295913
C,A,C,38,7,45,13.501140801267347
C,C,C,20,0,24,19.906931468067047
C,C,B,18,4,38,15.264299073436035
A,B,C,31,10,8,12.1747155648057
B,C,C,26,0,14,11.333838058880938
C,C,C,26,1,45,17.50124568434454
C,B,C,40,12,40,16.588483502966497
C,C,A,3,4,28,11.570470889244199
C,B,C,35,13,26,18.69512686571439
C,C,C,36,3,38,21.009912114662733
B,B,C,32,13,20,17.938289980155204
C,C,C,29,3,30,17.869605636032993
C,C,C,21,5,26,16.666143448834443
C,B,C,35,13,39,17.86060780653588
C,C,A,5,4,52,14.446557872123362
A,C,C,40,2,1,15.485121145379862
C,C,C,29,6,59,14.781004512452684
B,B,A,5,13,20,11.411381818133957
A,C,C,21,1,1,16.209858543101582
C,A,C,22,7,60,14.743863580229908
A,C,A,9,4,0,5.043087776640583
C,B,C,29,14,46,15.162637211840359
C,A,C,38,8,23,16.530395992751764
A,C,C,32,4,1,11.294971051205428
C,C,C,35,4,27,18.41047210438482
C,A,C,21,8,37,13.57653818894062
B,C,B,11,1,11,13.356745677182506
C,C,B,17,4,56,11.979357205822154
C,A,C,20,9,26,13.978054191552037
C,A,B,11,8,31,9.569414016747885
A,B,B,18,11,0,8.302571574697213
C,B,C,37,10,44,18.13507754268371
B,C,B,17,3,16,12.758379667988489
C,B,C,23,13,32,15.497948662075881
C,B,B,10,11,24,12.800700033151445
B,C,B,11,3,13,13.927198709202596
B,A,A,3,9,11,7.638387950434971
C,B,C,22,11,29,17.38595514756553
A,A,C,21,9,2,11.056216199739143
C,B,A,4,13,43,11.65591113957985
B,C,C,20,4,16,17.89679684310804
C,C,B,10,3,28,13.133785458538949
C,C,C,33,5,27,14.68571302459726
B,B,C,33,12,17,16.133050334423423
C,B,C,27,12,57,17.641288073569278
B,C,A,5,4,15,9.692161072185137
C,B,C,24,13,37,19.320105672807838
C,C,A,6,2,37,8.301289677387452
C,B,B,13,14,55,12.766047214731316
C,B,C,31,10,40,17.81264933192202
B,B,A,2,10,13,11.652297042151272
C,C,C,22,2,24,16.128096576944287
C,C,C,34,6,31,17.149971619448046
C,B,C,33,14,31,15.438242136723904
